name;avg_price;cuisine_features;telephone;address;location;opinions;ratings;comments_count;                 features;schedule;appetizing_dishes;restaurant_features;similar_restaurants;web_site
Hablarásdemi;Rango de precios por persona hasta 9 €;Española;tel:+34910119730;Avenida de la Alcarria 13, Alcala de Henares;Avenida de la Alcarria 13, Alcala de Henares, Comunidad de Madrid, España;{"gran servicio": "excellent", "ambiente acogedor": "excellent", "desayuno": "excellent", "rape": "excellent", "s\u00e1ndwiches": "excellent", "pescado": "excellent", "torreznos": "excellent", "marisco": "excellent", "patatas": "good", "tapas": "excellent", "carne": "excellent"};{"Google": "4.4/5", "Trip": "4.7/5"};{"Google": "160", "Trip": "12"};Tarjetas de crédito aceptadas, Entrega, Asientos al aire libre, Para llevar, Reserva, Wifi, TV;{"Lunes": "18:30-00:00", "Martes": "18:30-00:00", "Mi\u00e9rcoles": "18:30-00:00", "Jueves": "18:30-00:00", "Viernes": "12:30-00:00", "S\u00e1bado": "12:30-00:00", "Domingo": "12:30-11:00"};rape, sándwiches, pescado, torreznos, marisco, patatas, empanadas, calamares, tapas, carne, entrantes, ensaladas, patatas bravas, sopa, chorizo, tortilla de patata, pulpo, jamón, cerdo, patatas fritas, aperitivos, croquetas;comida para llevar, gran servicio, ambiente acogedor, desayuno, estupenda ubicación, pedir comida a domicilio, personal amable, cenas, almuerzo, carta de vinos;Taberna San Isidro, Doncel Café, Restaurante Al Andalus, Patrimonio;https://www.webonjo.com/hablarsdemi-bar-restaurante-2838173-es
Granier;Rango de precios por persona hasta 9 €;;tel:+34910138932;C. Libreros, 26, Alcala de Henares;C. Libreros, 26, Alcala de Henares, Comunidad de Madrid, España;{"carne": "good", "cerdo": "good", "pescado": "good", "rape": "good", "queso": "good", "beicon": "excellent", "s\u00e1ndwiches": "excellent"};{"Google": "4.1/5", "Facebook": "4,6/5", "Trip": "4.7/5"};{"Yelp": "1", "Foursquare": "16", "Google": "423", "Facebook": "29", "Trip": "58"};No hay entrega, Para llevar, Tarjetas de crédito aceptadas, Accesible para sillas de ruedas;{"Lunes": "07:00-21:30", "Martes": "07:00-21:30", "Mi\u00e9rcoles": "07:00-21:30", "Jueves": "07:00-21:30", "Viernes": "07:00-21:30", "S\u00e1bado": "07:00-21:30", "Domingo": "07:00-21:30"};pasteles, carne, cerdo, donuts, pescado, helados, helado, pasta, pastelito de manzana, rape, queso, tarta de queso, magdalenas, beicon, sándwiches, caballa, jamón, cruasáns, sopa, chocolate caliente;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Tetería Guama, Amsterdam, Manolo bakes Alcalá de Henares, Restaurante Churreria Chocolateria Metropoli;http://www.pansgranier.com/&cachebuster=1623199382
Trattorias Abruzzi;Rango de precios por persona 13 €-42 €;Italiana, Opciones vegetarianas;;;Avenida JUAN CARLOS I, 13 LOCALES 9 y 10, Alcala de Henares, Comunidad de Madrid, España;{"pescado": "good", "pizza": "good", "pasta": "good", "carne": "normal", "risotto": "good", "entrantes": "good", "la salsa": "good", "carpacho": "good", "cerdo": "good"};{"Google": "3.9/5", "Facebook": "4,6/5", "Trip": "4.7/5"};{"Foursquare": "23", "Google": "321", "Facebook": "17", "Trip": "138"};Tarjetas de crédito aceptadas, Asientos al aire libre, Wifi, Reserva, Entrega, Para llevar;{"Lunes": "Cerrado", "Martes": "13:30-16:30", "Mi\u00e9rcoles": "13:30-16:30, 20:30-23:30", "Jueves": "13:30-16:30, 20:30-23:30", "Viernes": "13:30-16:30, 21:00-01:00", "S\u00e1bado": "13:30-16:30, 21:00-01:00", "Domingo": "13:30-16:30, 20:30-00:00"};pescado, pizza, pasta, carne, risotto, entrantes, la salsa, helado, helados, carpacho, sopa, cerdo, tiramisú, venado, lasaña, pollo a la parrilla, pollo, pasteles, pizza calzone, salmón, marisco, focaccia, atún, queso, pasta con marisco, panna cotta, beicon, tofu;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;;
Casa Pepe;Rango de precios por persona 22 €-43 €;Pescado y marisco, Española;tel:+34918815524;Calle Juan de Soto 8, Alcala de Henares;Calle Juan de Soto 8, Alcala de Henares, Comunidad de Madrid, España, 28804;{};{"Foursquare": "Sin valorar a\u00fan", "Facebook": "Sin valorar a\u00fan", "Trip": "4.7/5"};{"Foursquare": "1", "Facebook": 0, "Trip": "113"};Sin asientos al aire libre, Sin reserva, Para llevar, TV;{"Lunes": "Cerrado", "Martes": "11:30-15:30, 19:00-00:00", "Mi\u00e9rcoles": "11:30-15:30, 19:00-00:00", "Jueves": "11:30-15:30, 19:00-00:00", "Viernes": "11:30-15:30, 19:00-00:00", "S\u00e1bado": "11:30-15:30, 19:00-00:00", "Domingo": "11:30-15:30, 19:00-00:00"};marisco, carne, cerdo, pescado, gambas, jamón, mejillones, pulpo, navajas, rape, pescado frito, caracoles, ostras, queso, cocido, calamares, sopa, calamar, gazpacho;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Doncel Café, El Quinto Tapón, Gino Bar Cafetería, Casa Angel;
Casa De Asturias;Rango de precios por persona 10 €-30 €;Española;tel:+34918897821;Rda. de la Pescadería, 26, Alcala de Henares;Rda. de la Pescadería, 26, Alcala de Henares, Comunidad de Madrid, España;{"arroz": "good", "carne de vaca": "good", "carne": "good", "marisco": "excellent", "queso manchego": "good", "pulpo": "good", "queso": "good", "patatas": "good"};{"Yelp": "Sin valorar a\u00fan", "Foursquare": "Sin valorar a\u00fan", "Google": "4.0/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Yelp": 0, "Foursquare": "2", "Google": "576", "Facebook": "38", "Trip": "40"};Tarjetas de crédito aceptadas, No hay entrega, Asientos al aire libre, Para llevar, Reserva, Accesible para sillas de ruedas;{"Lunes": "12:00-17:00", "Martes": "12:00-17:00", "Mi\u00e9rcoles": "12:00-17:00", "Jueves": "12:00-23:00", "Viernes": "12:00-23:00", "S\u00e1bado": "12:00-23:00", "Domingo": "12:00-18:00"};arroz, carne de vaca, carne, tarta de queso, marisco, pulpo, queso, patatas, entrecote, filetes, pescado, cerdo, sopa, bacalao, patatas fritas, paella, chorizo, caldo, macarrones, albóndigas;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Sexto Sentido, Las Retintas, Alkala Nahar, Bar Carolina;http://www.barcasasturias.com/
Rus;Rango de precios por persona 11 €-21 €;Española;tel:+34918827884;C. de Loeches, 4, Alcala de Henares;C. de Loeches, 4, Alcala de Henares, Comunidad de Madrid, España;{"carne": "normal", "pescado": "good", "s\u00e1ndwiches": "good", "hamburguesas completas": "excellent", "cordero": "normal", "entrecote": "normal", "entrecot": "normal", "carne de vaca": "normal", "filetes": "normal"};{"Foursquare": "Sin valorar a\u00fan", "Google": "4.0/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Yelp": "3", "Foursquare": "2", "Google": "693", "Facebook": "37", "Trip": "30"};Asientos al aire libre, Reserva, Entrega, Para llevar, Tarjetas de crédito aceptadas;{"Lunes": "08:00-16:30", "Martes": "08:00-00:00", "Mi\u00e9rcoles": "08:00-00:00", "Jueves": "08:00-00:00", "Viernes": "08:00-00:00", "S\u00e1bado": "11:00-01:00", "Domingo": "11:00-00:00"};carne, pescado, sándwiches, hamburguesas completas, arroz, cordero, entrecote, carne de vaca, filetes, carne a la parrilla, cordero asado, estofado de verduras, patatas, cerdo, marisco, sopa, venado, entrantes, patatas fritas;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Patrimonio, Tupamaro, Indalo Tapas Alcalá Ensanche, Juanjo;http://www.restauranterus.com/
El Quinto Tapón;Rango de precios por persona hasta 10 €;Española;tel:+34918775749;C. Teniente Ruiz, 3, Alcala de Henares;C. Teniente Ruiz, 3, Alcala de Henares, Comunidad de Madrid, España;{"pescado": "good", "patatas": "good", "hamburguesas completas": "excellent", "pollo": "good", "nachos": "excellent"};{"Google": "4.1/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Yelp": "3", "Google": "1609", "Facebook": "13", "Trip": "157"};No hay entrega, Asientos al aire libre, Accesible para sillas de ruedas, Tarjetas de crédito aceptadas, Reserva;{"Lunes": "09:00-23:00", "Martes": "09:00-23:00", "Mi\u00e9rcoles": "09:00-23:00", "Jueves": "09:00-23:00", "Viernes": "09:00-23:00", "S\u00e1bado": "09:00-23:00", "Domingo": "Cerrado"};pescado, patatas, hamburguesas completas, pollo, nachos, ensaladilla olivier, salmón, queso, cerdo, la salsa, carne, cordero, morcilla, albóndigas, sopa, marisco, pavo, patatas fritas, beicon;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ki-Jote, Doncel Café, Restaurante la Cueva de Antolín, 100 Montaditos;
La Oveja Negra;Rango de precios por persona 9 €-22 €;;tel:+34625961234;C. Escuelas, 5, Alcala de Henares;C. Escuelas, 5, Alcala de Henares, Comunidad de Madrid, España;{"asientos al aire libre": "excellent", "estupenda ubicaci\u00f3n": "excellent", "desayuno": "good", "laing": "normal", "tapas": "excellent", "sopa": "good", "menudo": "good", "venado": "bad", "carne": "bad", "ginebra": "excellent", "caf\u00e9": "good", "t\u00f3nica": "excellent", "licor": "excellent"};{"Google": "3.9/5", "Facebook": "4,9/5", "Trip": "4.7/5"};{"Google": "277", "Facebook": "39", "Trip": "15"};Asientos al aire libre, Reserva, No hay entrega, Tarjetas de crédito aceptadas, Estacionamiento;{"Lunes": "Cerrado", "Martes": "16:00-00:00", "Mi\u00e9rcoles": "16:00-00:00", "Jueves": "16:00-01:30", "Viernes": "16:00-02:30", "S\u00e1bado": "16:00-02:30", "Domingo": "16:00-23:00"};laing, tapas, sopa, menudo, venado, carne, pescado, rape, patatas, cerdo, queso, empanadas, aves de corral;asientos al aire libre, estupenda ubicación, desayuno, comida para llevar, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;La Birroteca, Whelan's, Maimonides, Taberna 7;http://black-sheep-bar.gaqo.net/
El Asador de Camporroso;Rango de precios por persona hasta 9 €;Española;tel:+34654254946;c/Buenos Aires nº8 Poligono Industrial Camporroso, Alcala de Henares;c/Buenos Aires nº8 Poligono Industrial Camporroso, Alcala de Henares, Comunidad de Madrid, España;{"paella": "excellent", "sopa": "good", "patatas": "good", "rape": "excellent", "pescado": "excellent", "carne": "normal", "jam\u00f3n": "normal", "cerdo": "normal"};{"Google": "4.1/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Google": "298", "Facebook": "21", "Trip": "12"};No hay entrega, Asientos al aire libre, Para llevar, Reserva, Accesible para sillas de ruedas;{"Lunes": "06:30-17:00", "Martes": "06:30-17:00", "Mi\u00e9rcoles": "06:30-17:00", "Jueves": "06:30-17:00", "Viernes": "06:30-17:00", "S\u00e1bado": "Cerrado", "Domingo": "Cerrado"};paella, sopa, patatas, rape, pescado, carne, jamón, cerdo, entrecote, carne de vaca, marisco, filetes, queso, risotto, quiche, chorizo, salchichas, ensaladas, arroz, la salsa;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Restaurante la Espadaña, Tierra y Mar, Rus, MOMO La Garena;https://el-asador-de-camporroso.negocio.site/
La Tagliatella CC Quadernillos, Alcalá de Henares;Rango de precios por persona 16 €-21 €;Italiana, Pizza;tel:+34917652843;CC. Quadernillos, Av. de Don Juan Tenorio, s/n, Alcala de Henares;CC. Quadernillos, Av. de Don Juan Tenorio, s/n, Alcala de Henares, Comunidad de Madrid, España;{"rape": "excellent", "pescado": "excellent", "pizza": "good", "pasta": "normal", "risotto": "normal", "pizza blanca": "excellent"};{"Google": "3.9/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Google": "2022", "Facebook": "5", "Trip": "12"};Tarjetas de crédito aceptadas, Entrega, Asientos al aire libre, Para llevar, Reserva;{"Lunes": "13:30-16:00, 20:30-23:00", "Martes": "13:30-16:00, 20:30-23:00", "Mi\u00e9rcoles": "13:30-16:00, 20:30-23:00", "Jueves": "13:30-16:00, 20:30-23:00", "Viernes": "13:30-16:00, 20:30-23:00", "S\u00e1bado": "13:30-16:30, 20:30-23:00", "Domingo": "13:30-16:30, 20:30-23:00"};rape, pescado, pizza, pasta, queso, risotto, ensaladas, helado de limón, helados, tiramisú, helado, entrantes, carne, kebabs, pizza calzone, la salsa, carpacho, espaguetis, canelones;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ginos Quadernillos, Muerde la Pasta, Muerde la Pasta, Papa John's Pizza;https://www.latagliatella.es/restaurantes/madrid/cc-quadernillos-alcala-de-henares
Palacio De Oriente;Rango de precios por persona hasta 9 €;China;tel:+34918832881;Av de Lope de Figueroa, 18, Alcala de Henares;Av de Lope de Figueroa, 18, Alcala de Henares, Comunidad de Madrid, España;{"comida para llevar": "excellent", "gran servicio": "good", "ostras": "good", "pescado": "good", "rape": "good", "carne": "good", "marisco": "good", "aves de corral": "good", "arroz": "excellent", "sopa": "good", "la salsa": "excellent", "empanadillas": "good"};{"Foursquare": "Sin valorar a\u00fan", "Google": "4.2/5", "Facebook": "Sin valorar a\u00fan", "Trip": "4.7/5"};{"Foursquare": "4", "Google": "484", "Facebook": 0, "Trip": "17"};Tarjetas de crédito aceptadas, Reserva, Entrega, Para llevar;{"Lunes": "12:00-16:30, 19:30-00:00", "Martes": "12:00-16:30, 19:30-00:00", "Mi\u00e9rcoles": "12:00-16:30, 19:30-00:00", "Jueves": "12:00-16:30, 19:30-00:00", "Viernes": "12:00-16:30, 19:30-00:00", "S\u00e1bado": "11:30-16:30, 19:30-00:00", "Domingo": "11:30-16:30, 19:30-00:00"};ostras, pescado, rape, carne, marisco, aves de corral, arroz, sopa, la salsa, empanadillas, gambas, pollo, albóndigas, pollo al limón, cerdo, sopa picante y amarga, pato, empanadillas chinas, empanadillas fritas, sushi, helados, helado, carne de vaca;comida para llevar, pedir comida a domicilio, gran servicio, estupenda ubicación, desayuno, personal amable, cenas, ambiente acogedor, almuerzo, carta de vinos;Gastronomía De China-Xian, Jardin de Fenix, Hotung House, Yu Gin Zhu;
Foster's Hollywood Atenea;Rango de precios por persona 9 €-22 €;Americana, Comida Rápida;tel:+34912650073;Parque Comercial Alcalá Atenea, Calle Federico García Lorca, s/n, Alcala de Henares;Parque Comercial Alcalá Atenea, Calle Federico García Lorca, s/n, Alcala de Henares, Comunidad de Madrid, España;{"pescado": "excellent", "costillas": "excellent", "hamburguesas americanas": "good", "hamburguesas completas": "good", "carne": "normal", "cerdo": "normal", "beicon": "bad", "patatas fritas": "bad", "queso": "bad"};{"Yelp": "Sin valorar a\u00fan", "Google": "4.1/5", "Trip": "4.7/5"};{"Yelp": 0, "Foursquare": 0, "Google": "1306", "Trip": "14"};Entrega, Asientos al aire libre, Para llevar, Reserva;{"Lunes": "13:00-17:00, 19:30-23:00", "Martes": "13:00-17:00, 19:30-23:00", "Mi\u00e9rcoles": "13:00-17:00, 19:30-23:00", "Jueves": "13:00-17:00, 19:30-23:00", "Viernes": "13:00-17:00, 19:30-23:00", "S\u00e1bado": "13:00-17:00, 19:30-23:00", "Domingo": "13:00-17:00, 19:30-23:00"};pescado, costillas, hamburguesas americanas, hamburguesas completas, carne, cerdo, beicon, patatas fritas, queso, la salsa, pollo, ensaladas, sándwiches, cerdo ahumado, entrantes, nachos, patatas, ensalada de col, tortitas, crepes, arroz;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ribs, Papa John's Pizza, Burger King, Asador El rincon del Pollo;https://fostershollywood.es/restaurantes/madrid/alcala-de-henares/fh-alcala-atenea?cachebuster=1625904406
Buddy Hollys;Rango de precios por persona hasta 9 €;Americana;tel:+34691445156;C. Tercia, 9, Alcala de Henares;C. Tercia, 9, Alcala de Henares, Comunidad de Madrid, España;{"hamburguesas completas": "good", "hamburguesas americanas": "good", "patatas": "good", "patatas fritas": "good", "s\u00e1ndwiches": "good", "pollo": "good", "rape": "good", "pescado": "good", "carne": "normal", "tortillas": "excellent"};{"Yelp": "Sin valorar a\u00fan", "Google": "4.0/5", "Facebook": "3/5", "Trip": "4.7/5"};{"Yelp": 0, "Foursquare": "35", "Google": "447", "Facebook": "3", "Trip": "21"};Tarjetas de crédito aceptadas, Sin asientos al aire libre, Reserva, No hay entrega, Para llevar;{"Lunes": "09:00-13:00, 17:00-23:00", "Martes": "09:00-13:00, 17:00-23:00", "Mi\u00e9rcoles": "09:00-13:00, 17:00-23:00", "Jueves": "09:00-13:00, 17:00-23:00", "Viernes": "09:00-13:00, 17:00-00:00", "S\u00e1bado": "17:00-00:00", "Domingo": "17:00-23:00"};tortitas, hamburguesas completas, hamburguesas americanas, patatas, patatas fritas, sándwiches, pollo, rape, pescado, helados, helado, crepes, carne, tortillas, la salsa, ensalada césar, kebabs;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Starway, Texas Burger Alcalá, TANGÚ, Backstage Restaurante-Cervecería;
Gino Bar Cafetería;Rango de precios por persona 10 €-26 €;Mediterránea, Española;tel:+34919200737;Calle VALLADOLID, 2, Alcala de Henares;Calle VALLADOLID, 2, Alcala de Henares, Comunidad de Madrid, España;{"hamburguesas completas": "excellent", "hamburguesas americanas": "excellent", "pasta": "excellent", "quesadillas": "good", "pollo": "good", "la salsa": "good"};{"Google": "4.1/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Google": "505", "Facebook": "7", "Trip": "17"};Entrega, Asientos al aire libre, Para llevar, Reserva, Accesible para sillas de ruedas;{"Lunes": "09:00-00:00", "Martes": "09:00-00:00", "Mi\u00e9rcoles": "09:00-00:00", "Jueves": "09:00-00:00", "Viernes": "09:00-01:30", "S\u00e1bado": "10:00-01:30", "Domingo": "10:00-18:00"};hamburguesas completas, hamburguesas americanas, pasta, crepes, tortitas, quesadillas, marisco, carne, pescado, rape, cruasáns, pollo, la salsa, patatas, patatas fritas, espaguetis, espaguetis a la carbonara, queso;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Restaurante J.C.R. Sacromonte, Cafe Restaurante Figueroa 22, Cafetería Alcalá 2000, Casa Pepe;
El Gato Verde;Rango de precios por persona hasta 10 €;Española;tel:+34918811683;de, Calle San Felipe Neri, 3, Alcala de Henares;de, Calle San Felipe Neri, 3, Alcala de Henares, Comunidad de Madrid, España;{"carne": "excellent", "pescado": "good", "hamburguesas completas": "good", "entrecot": "excellent", "entrecote": "excellent", "carne de vaca": "excellent", "sopa": "excellent", "filetes": "good", "jam\u00f3n": "good", "cerdo": "good"};{"Google": "4.1/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Yelp": "3", "Google": "2343", "Facebook": "7", "Trip": "168"};No hay entrega, Asientos al aire libre, Reserva;{"Lunes": "09:00-23:00", "Martes": "09:00-23:00", "Mi\u00e9rcoles": "09:00-23:00", "Jueves": "09:00-23:00", "Viernes": "09:00-23:00", "S\u00e1bado": "09:00-23:00", "Domingo": "09:00-23:00"};carne, pescado, hamburguesas completas, entrecote, carne de vaca, sopa, filetes, cerdo, salmón, queso, pollo, chucrut, la salsa, atún, ensalada de col, laing;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;El Alfar Restaurante, Vinoteca Esencias del Gourmet, Imperial Craft Beer, Maimonides;
Pollo de Alcalá;Rango de precios por persona 6 €-17 €;Española, Grill;tel:+34918813070;Vía Complutense, 32, Alcala de Henares;Vía Complutense, 32, Alcala de Henares, Comunidad de Madrid, España;{"carne": "good", "pollo": "normal", "pollo asado": "good", "cerdo": "good", "cordero": "good", "la salsa": "good", "chorizo": "good", "arroz": "good", "curry de pollo": "good", "pollo frito": "good"};{"Google": "4.0/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Yelp": "4", "Foursquare": "30", "Google": "501", "Facebook": "23", "Trip": "92"};Tarjetas de crédito aceptadas, Sin asientos al aire libre, Para llevar, Reserva, Wifi, TV;{"Lunes": "Cerrado", "Martes": "Cerrado", "Mi\u00e9rcoles": "Cerrado", "Jueves": "Cerrado", "Viernes": "12:00-16:00", "S\u00e1bado": "12:00-16:00", "Domingo": "12:00-16:00"};carne, pollo, pollo asado, cerdo, cordero, la salsa, chorizo, arroz, curry de pollo, tiramisú, pollo frito, pescado, sopa, cordero asado, tarta de queso, bacalao, queso, venado, helado, entrantes, helados, atún, pollo a la brasa;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Indalo Tapas, Café de Libreros, La Bistró Cervantina, BOSCOS;
Jardin de Fenix;Rango de precios por persona hasta 9 €;China;tel:+34918824300;Av. de Castilla, 4, Alcala de Henares;Av. de Castilla, 4, Alcala de Henares, Comunidad de Madrid, España;{"rape": "excellent", "aves de corral": "excellent", "pollo": "excellent", "ostras": "excellent", "arroz": "good", "carne": "good", "carne de vaca": "good", "la salsa": "good", "marisco": "good"};{"Google": "4.2/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Yelp": "1", "Google": "196", "Facebook": "5", "Trip": "15"};Entrega, Para llevar, Reserva, Accesible para sillas de ruedas;{"Lunes": "12:30-16:30, 20:00-00:00", "Martes": "Cerrado", "Mi\u00e9rcoles": "12:30-16:30, 20:00-00:00", "Jueves": "12:30-16:30, 20:00-00:00", "Viernes": "12:30-16:30, 20:00-00:00", "S\u00e1bado": "12:30-16:30, 20:00-00:00", "Domingo": "12:30-16:30, 20:00-00:00"};rape, aves de corral, pollo, ostras, arroz, carne, carne de vaca, la salsa, marisco, fideos, pollo picante, fideos de arroz, guiso, pollo con piña, tempura, rollitos en tempura, pollo al limón, cerdo, gambas, pescado;pedir comida a domicilio, comida para llevar, estupenda ubicación, desayuno, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Gastronomía De China-Xian, Palacio De Oriente, Hotung House, Yu Gin Zhu;
La Bistró Cervantina;Rango de precios por persona 9 €-22 €;Española, Mediterránea;;;C. Libreros, 24, Alcala de Henares, Comunidad de Madrid, España;{"queso": "good", "jam\u00f3n": "excellent", "cerdo": "excellent", "sopa": "excellent", "hamburguesas completas": "excellent", "carne": "good", "pescado": "good", "filetes": "good"};{"Foursquare": "Sin valorar a\u00fan", "Google": "3.8/5", "Facebook": "4,8/5", "Trip": "4.7/5"};{"Foursquare": "1", "Google": "222", "Facebook": "21", "Trip": "28"};Tarjetas de crédito aceptadas, No hay entrega, Asientos al aire libre, Para llevar, Reserva, Accesible para sillas de ruedas;{"Lunes": "09:30-16:00, 19:00-22:00", "Martes": "09:30-16:00, 19:00-22:00", "Mi\u00e9rcoles": "Cerrado", "Jueves": "09:30-16:00, 19:00-22:00", "Viernes": "09:30-16:00, 19:00-00:00", "S\u00e1bado": "12:00-00:00", "Domingo": "12:00-23:00"};queso, cerdo, sopa, hamburguesas completas, carne, pescado, filetes, pollo, atún, marisco, entrecote, tarta de queso, pulpo, pastelito de manzana, arroz, caldo, bacalao, carne de vaca, entrantes, cordero, la salsa;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;;
BOSCOS;Rango de precios por persona más de 43 €;Española, Mediterránea;tel:+34919423122;C. Libreros, 7, Alcala de Henares;C. Libreros, 7, Alcala de Henares, Comunidad de Madrid, España;{"pescado": "excellent", "carne": "good", "arroz": "normal", "cerdo": "normal", "solomillo": "normal", "bacalao": "excellent", "queso": "excellent", "queso burrata": "excellent", "pulpo": "good"};{"Yelp": "Sin valorar a\u00fan", "Google": "3.9/5", "Facebook": "3,7/5", "Trip": "4.7/5"};{"Yelp": 0, "Google": "494", "Facebook": 0, "Trip": "113"};No hay entrega, Asientos al aire libre, Para llevar, Reserva, Tarjetas de crédito aceptadas;{"Lunes": "08:30-17:00, 19:00-00:00", "Martes": "08:30-17:00, 19:00-00:00", "Mi\u00e9rcoles": "08:30-17:00, 19:00-00:00", "Jueves": "08:30-17:00, 19:00-00:00", "Viernes": "08:30-00:00", "S\u00e1bado": "10:00-00:00", "Domingo": "10:00-17:00"};pescado, carne, arroz, cerdo, pastelito de manzana, bacalao, queso, carne de vaca, tarta de queso, queso burrata, pulpo, hummus, cordero, atún, filetes, sopa, fletán, yogur, pasta, la salsa, marisco, hamburguesas completas, tiramisú, carpacho, codorniz, tempura, lubina;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ki-Jote, El Hidalgo, RUSTY BBQ ORIGINAL, Indalo Tapas;https://restauranteboscos.com/
LIZARRAN;Rango de precios por persona hasta 9 €;Española, Europea;tel:+34900102869;Cl Mayor 12, Alcala de Henares;Cl Mayor 12, Alcala de Henares, Comunidad de Madrid, España;{"pescado": "excellent", "cerdo": "normal", "carne": "normal", "filetes": "excellent", "hamburguesas completas": "good", "solomillo": "good", "gazpacho": "good", "marisco": "good", "queso": "good"};{"Foursquare": "Sin valorar a\u00fan", "Google": "3.9/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Foursquare": 0, "Google": "1363", "Facebook": "18", "Trip": "102"};No hay entrega, Asientos al aire libre, Para llevar, Reserva, Accesible para sillas de ruedas;{"Lunes": "09:00-23:00", "Martes": "09:00-23:00", "Mi\u00e9rcoles": "09:00-23:00", "Jueves": "09:00-23:00", "Viernes": "09:00-23:00", "S\u00e1bado": "11:00-23:00", "Domingo": "11:00-23:00"};pescado, cerdo, carne, filetes, hamburguesas completas, gazpacho, marisco, queso, beicon, entrecote, salmón, pollo, sopa, helados, helado, jamón italiano, carne de vaca, chorizo, chile, caldo, pulpo, atún, pizza, venado, pepperoni;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Las Retintas, Indalo Tapas, Barataria, BOSCOS;https://lizarran.es/
Casa Angel;Rango de precios por persona hasta 9 €;Española;tel:+34912851311;Calle Juan de Soto 10, Alcala de Henares;Calle Juan de Soto 10, Alcala de Henares, Comunidad de Madrid, España, 28804;{};{"Foursquare": "Sin valorar a\u00fan", "Facebook": "5/5", "Trip": "4.7/5"};{"Foursquare": 0, "Facebook": "2", "Trip": "108"};Reserva, Accesible para sillas de ruedas;;aperitivos, calamar, filetes, pescado, carne, patatas, cerdo, ensaladas, marisco, arroz negro, parrillada, guiso, venado, arroz, patatas bravas, rape, sopa, jamón, gambas al ajillo, sándwiches, albóndigas, salmón, caldo;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Casa Pepe, Gino Bar Cafetería, El Patio De Mi Casa, Cafetería la Morada;
